21	προναία	προναία	προναία
21	δʼ	δ'	δ'
21	ἐν	ἐν	ἐν
21	λόγοις	λόγοις	λόγοις
21	πρεσβεύεται	πρεσβεύεται	πρεσβεύεται
21	·	·	·
22	σέβω	σέβω	σέβω
22	δὲ	δὲ	δὲ
22	νύμφας	νύμφας	νύμφας
22	,	,	,
22	ἔνθα	ἔνθα	ἔνθα
22	Κωρυκὶς	Κωρυκὶς	Κωρυκὶς
22	πέτρα	πέτρα	πέτρα
23	κοίλη	κοίλη	κοίλη
23	,	,	,
23	φίλορνις	φίλορνις	φίλορνις
23	,	,	,
23	δαιμόνων	δαιμόνων	δαιμόνων
23	ἀναστροφή	ἀναστροφή	ἀναστροφή
23	·	·	·
24	Βρόμιος	Βρόμιος	Βρόμιος
24	ἔχει	ἔχει	ἔχει
24	τὸν	τὸν	τὸν
24	χῶρον	χῶρον	χῶρον
24	,	,	,
24	οὐδʼ	οὐ	οὐ
24		δ'	δ'
24	ἀμνημονῶ	ἀμνημονῶ	ἀμνημονῶ
24	,	,	,
25	ἐξ	ἐξ	ἐξ
25	οὗτε	οὗτε	οὗτε
25	Βάκχαις	Βάκχαις	Βάκχαις
25	ἐστρατήγησεν	ἐστρατήγησεν	ἐστρατήγησεν
25	θεός	θεός	θεός
25	,	,	,
26	λαγὼ	λαγὼ	λαγὼ
26	δίκην	δίκην	δίκην
26	Πενθεῖ	Πενθεῖ	Πενθεῖ
26	καταρράψας	καταρράψας	καταρράψας
26	μόρον	μόρον	μόρον
26	·	·	·
27	Πλειστοῦ	Πλειστοῦ	Πλειστοῦ
27	τε	τε	τε
27	πηγὰς	πηγὰς	πηγὰς
27	καὶ	καὶ	καὶ
27	Ποσειδῶνος	Ποσειδῶνος	Ποσειδῶνος
27	κράτος	κράτος	κράτος
28	καλοῦσα	καλοῦσα	καλοῦσα
28	καὶ	καὶ	καὶ
28	τέλειον	τέλειον	τέλειον
28	ὕψιστον	ὕψιστον	ὕψιστον
28	Δία	Δία	Δία
28	,	,	,
29	ἔπειτα	ἔπειτα	ἔπειτα
29	μάντις	μάντις	μάντις
29	ἐς	ἐς	ἐς
29	θρόνους	θρόνους	θρόνους
29	καθιζάνω	καθιζάνω	καθιζάνω
29	.	.	.
30	καὶ	καὶ	καὶ
30	νῦν	νῦν	νῦν
30	τυχεῖν	τυχεῖν	τυχεῖν
30	με	με	με
30	τῶν	τῶν	τῶν
30	πρὶν	πρὶν	πρὶν
30	εἰσόδων	εἰσόδων	εἰσόδων
30	μακρῷ	μακρῷ	μακρῷ
31	ἄριστα	ἄριστα	ἄριστα
31	δοῖεν	δοῖεν	δοῖεν
31	·	·	·
31	κεἰ	κεἰ	κεἰ
31	παρʼ	παρ'	παρ'
31	Ἑλλήνων	Ἑλλήνων	Ἑλλήνων
31	τινές	τινές	τινές
31	,	,	,
32	ἴτων	ἴτων	ἴτων
32	πάλῳ	πάλῳ	πάλῳ
32	λαχόντες	λαχόντες	λαχόντες
32	,	,	,
32	ὡς	ὡς	ὡς
32	νομίζεται	νομίζεται	νομίζεται
32	.	.	.
33	μαντεύομαι	μαντεύομαι	μαντεύομαι
33	γὰρ	γὰρ	γὰρ
33	ὡς	ὡς	ὡς
33	ἂν	ἂν	ἂν
33	ἡγῆται	ἡγῆται	ἡγῆται
33	θεός	θεός	θεός
33	.	.	.
34	ἦ	ἦ	ἦ
34	δεινὰ	δεινὰ	δεινὰ
34	λέξαι	λέξαι	λέξαι
34	,	,	,
34	δεινὰ	δεινὰ	δεινὰ
34	δʼ	δ'	δ'
34	ὀφθαλμοῖς	ὀφθαλμοῖς	ὀφθαλμοῖς
34	δρακεῖν	δρακεῖν	δρακεῖν
34	,	,	,
35	πάλιν	πάλιν	πάλιν
35	μʼ	μ'	μ'
35	ἔπεμψεν	ἔπεμψεν	ἔπεμψεν
35	ἐκ	ἐκ	ἐκ
35	δόμων	δόμων	δόμων
35	τῶν	τῶν	τῶν
35	Λοξίου	Λοξίου	Λοξίου
35	,	,	,
36	ὡς	ὡς	ὡς
36	μήτε	μήτε	μήτε
36	σωκεῖν	σωκεῖν	σωκεῖν
36	μήτε	μήτε	μήτε
36	μʼ	μ'	μ'
36	ἀκταίνειν	ἀκταίνειν	ἀκταίνειν
36	βάσιν	βάσιν	βάσιν
36	,	,	,
37	τρέχω	τρέχω	τρέχω
37	δὲ	δὲ	δὲ
37	χερσίν	χερσίν	χερσίν
37	,	,	,
37	οὐ	οὐ	οὐ
37	ποδωκείᾳ	ποδωκείᾳ	ποδωκείᾳ
37	σκελῶν	σκελῶν	σκελῶν
37	·	·	·
38	δείσασα	δείσασα	δείσασα
38	γὰρ	γὰρ	γὰρ
38	γραῦς	γραῦς	γραῦς
38	οὐδέν	οὐδέν	οὐδέν
38	,	,	,
38	ἀντίπαις	ἀντίπαις	ἀντίπαις
38	μὲν	μὲν	μὲν
38	οὖν	οὖν	οὖν
38	.	.	.
39	ἐγὼ	ἐγὼ	ἐγὼ
39	μὲν	μὲν	μὲν
39	ἕρπω	ἕρπω	ἕρπω
39	πρὸς	πρὸς	πρὸς
39	πολυστεφῆ	πολυστεφῆ	πολυστεφῆ
39	μυχόν	μυχόν	μυχόν
39	·	·	·
40	ὁρῶ	ὁρῶ	ὁρῶ
40	δʼ	δ'	δ'
40	ἐπʼ	ἐπ'	ἐπ'
40	ὀμφαλῷ	ὀμφαλῷ	ὀμφαλῷ
40	μὲν	μὲν	μὲν
40	ἄνδρα	ἄνδρα	ἄνδρα
40	θεομυσῆ	θεομυσῆ	θεομυσῆ
41	ἕδραν	ἕδραν	ἕδραν
41	ἔχοντα	ἔχοντα	ἔχοντα
41	προστρόπαιον	προστρόπαιον	προστρόπαιον
41	,	,	,
41	αἵματι	αἵματι	αἵματι
42	στάζοντα	στάζοντα	στάζοντα
42	χεῖρας	χεῖρας	χεῖρας
42	καὶ	καὶ	καὶ
42	νεοσπαδὲς	νεοσπαδὲς	νεοσπαδὲς
42	ξίφος	ξίφος	ξίφος
43	ἔχοντʼ	ἔχοντ'	ἔχοντ'
43	ἐλαίας	ἐλαίας	ἐλαίας
43	θʼ	θ'	θ'
43	ὑψιγέννητον	ὑψιγέννητον	ὑψιγέννητον
43	κλάδον	κλάδον	κλάδον
43	,	,	,
44	λήνει	λήνει	λήνει
